"","intercept","format","level","centeredDV"
"1",1,0,1,1.02586887934462
"2",1,0,1,-1.53535231340176
"3",1,0,1,0.0228370518984197
"4",1,0,2,-0.888229194882349
"5",1,0,2,-1.05360998201875
"6",1,0,2,-1.26174300081608
"7",1,0,3,-4.22696551836112
"8",1,0,3,-2.83427151597559
"9",1,0,3,-0.883099845287358
"10",1,0,4,-10.2103191411584
"11",1,0,4,-12.5639837034319
"12",1,0,4,-10.1315016897286
"13",1,0,1,1.43397344562098
"14",1,0,1,-1.37736636385398
"15",1,0,1,-1.21028972121452
"16",1,0,2,-0.875712963698907
"17",1,0,2,-2.01590789858838
"18",1,0,2,0.753358886178492
"19",1,0,3,-2.70783429619561
"20",1,0,3,-2.91857336572467
"21",1,0,3,-3.29009634917868
"22",1,0,4,-11.3892174250063
"23",1,0,4,-11.531311183844
"24",1,0,4,-13.2122111174186
"25",1,1,1,-0.340900556883496
"26",1,1,1,-0.583969436185869
"27",1,1,1,1.37790072662754
"28",1,1,2,-7.27814192542922
"29",1,1,2,-7.64848868693901
"30",1,1,2,-9.90097215138421
"31",1,1,3,-9.03749873124672
"32",1,1,3,-7.8343587636067
"33",1,1,3,-10.0613569207726
"34",1,1,4,-20.8804983623445
"35",1,1,4,-19.5904274948673
"36",1,1,4,-17.1691686697108
"37",1,1,1,0.553743237010619
"38",1,1,1,-1.53399414849946
"39",1,1,1,-0.564779168886073
"40",1,1,2,-8.34428446730217
"41",1,1,2,-7.44849518044688
"42",1,1,2,-7.56521821667589
"43",1,1,3,-9.90491136621102
"44",1,1,3,-10.0058268348019
"45",1,1,3,-10.5523163919111
"46",1,1,4,-18.2907515005092
"47",1,1,4,-20.493985041664
"48",1,1,4,-19.3690390328456
"49",1,0,1,0.00948598871066944
"50",1,0,1,0.542040776177666
"51",1,0,1,-0.463640233339781
"52",1,0,2,-1.61911474603952
"53",1,0,2,-0.715158908292886
"54",1,0,2,-0.37788242553388
"55",1,0,3,-2.74991531740619
"56",1,0,3,-3.78604171222124
"57",1,0,3,-3.02392115685041
"58",1,0,4,-10.1938977414609
"59",1,0,4,-10.3820231812836
"60",1,0,4,-12.1687191505908
"61",1,1,1,-2.13053427574403
"62",1,1,1,-1.53265384215017
"63",1,1,1,0.121216767702852
"64",1,1,2,-8.55779876908497
"65",1,1,2,-6.28414405644988
"66",1,1,2,-8.77790640414384
"67",1,1,3,-10.1250104084977
"68",1,1,3,-10.3309715366791
"69",1,1,3,-11.2066076038393
"70",1,1,4,-20.8419455770738
"71",1,1,4,-17.7756113646851
"72",1,1,4,-18.5921630761564
"73",1,1,1,0.148252416239146
"74",1,1,1,-1.62021910868607
"75",1,1,1,-2.70250414322136
"76",1,1,2,-7.1405335662153
"77",1,1,2,-8.43656289961176
"78",1,1,2,-6.23064766886063
"79",1,1,3,-10.8271948474644
"80",1,1,3,-8.6152910894581
"81",1,1,3,-9.79394689481195
"82",1,1,4,-19.6317848298962
"83",1,1,4,-18.9368816811847
"84",1,1,4,-19.3921184101306
"85",1,1,1,1.04706950000416
"86",1,1,1,1.00806419065976
"87",1,1,1,0.411227990757354
"88",1,1,2,-7.78837192996771
"89",1,1,2,-8.49110885141267
"90",1,1,2,-8.2444659259383
"91",1,1,3,-12.0719081063001
"92",1,1,3,-10.5811249223309
"93",1,1,3,-10.364901350185
"94",1,1,4,-19.1539599679875
"95",1,1,4,-17.3405134220774
"96",1,1,4,-18.7861322619418
"97",1,1,1,-0.218618103492482
"98",1,1,1,0.0819269443695378
"99",1,1,1,-0.193201927310388
"100",1,1,2,-7.35928951401312
"101",1,1,2,-6.35598936152495
"102",1,1,2,-7.17825351002441
"103",1,1,3,-10.2862499904965
"104",1,1,3,-10.4976347055743
"105",1,1,3,-10.6908810945273
"106",1,1,4,-18.1373448986702
"107",1,1,4,-18.7946234987036
"108",1,1,4,-18.8220761910044
"109",1,0,1,-0.921883483536702
"110",1,0,1,0.0839474466818981
"111",1,0,1,-0.570804274845546
"112",1,0,2,-1.07678052957221
"113",1,0,2,0.748302705305742
"114",1,0,2,-1.36567674624961
"115",1,0,3,-1.51065683632318
"116",1,0,3,-2.72963371498956
"117",1,0,3,-2.47072781508267
"118",1,0,4,-11.2747464045069
"119",1,0,4,-11.699462170006
"120",1,0,4,-13.2604857606401
"121",1,1,1,1.196981375186
"122",1,1,1,-0.00227335971233825
"123",1,1,1,1.69235448404501
"124",1,1,2,-6.08666822909458
"125",1,1,2,-8.0424596876214
"126",1,1,2,-7.94820833266502
"127",1,1,3,-8.00306326671552
"128",1,1,3,-8.83235877963097
"129",1,1,3,-9.8937733991371
"130",1,1,4,-18.0843234572399
"131",1,1,4,-20.0025345519612
"132",1,1,4,-18.4100749757995
"133",1,1,1,-0.81886155038475
"134",1,1,1,-0.948751623470208
"135",1,1,1,1.48516530874768
"136",1,1,2,-7.24170274303164
"137",1,1,2,-6.38549002656915
"138",1,1,2,-8.89632502261602
"139",1,1,3,-9.28559346176289
"140",1,1,3,-8.23451372288798
"141",1,1,3,-10.7089825906341
"142",1,1,4,-18.0292610734465
"143",1,1,4,-18.1386478902222
"144",1,1,4,-18.8984446586868
"145",1,1,1,-0.187846819995686
"146",1,1,1,0.944642121665603
"147",1,1,1,1.65489521359291
"148",1,1,2,-7.5480250527794
"149",1,1,2,-7.14478654840503
"150",1,1,2,-4.90405600400267
"151",1,1,3,-12.9911125177474
"152",1,1,3,-10.9285773347842
"153",1,1,3,-10.0393469214295
"154",1,1,4,-18.9323014751608
"155",1,1,4,-18.1655786966283
"156",1,1,4,-18.1498362763318
"157",1,0,1,0.100182294000679
"158",1,0,1,-0.850108997834895
"159",1,0,1,0.198345611894147
"160",1,0,2,-0.153709121268078
"161",1,0,2,0.606465167673144
"162",1,0,2,-0.482555203213473
"163",1,0,3,-2.63218862406602
"164",1,0,3,-3.31394130155173
"165",1,0,3,-2.7464926324854
